BasketId,BasketName
0,NIL
1,Asian Studies
2,Business Option
3,Economics Major Elective
4,Game Theory
5,Monetary Economics
6,Urban Economics and Policy
7,General Education - Arts
8,Globalisation
9,General Education - Science
10,Comm - Technology & Society
11,Comm - Cltr of the Modern Wrl
12,Economics of Globalisation
13,Cap - Modes of Thinking
14,Political Econ of Globalizatn
15,Comm-Cltr of Mdrn Wrld+AS std
16,Business-Oriented Elective
17,EMR (Social Science)
18,Physiological Psychology
19,Cognitive Psychology
20,Developmental Psychology
21,Social Psychology
22,SSMR (Social Science)
23,Psychology of Emotions
24,Political Science Major
25,Free Electives (For LKCSB)
26,Econ Major Rel/Econ Options
27,Intro to Sociological Theory
28,Strategic Mgmt Major Elective
29,Capabilities - Managing
30,Acct Options / Acct Elective
31,Statistical Programming
32,ADA Major Elective + AO/AE
33,Marketing Major Elective
34,Real Estate Track Only
35,Finance Major Elective
36,Data Modelling & Visualisation
37,Introduction to Programming
38,IS Technology Depth Elective
39,Free Electives (SCIS only)
40,Comm – Tech & Soc + SG Std
41,AO/AE + FNCE
42,Law Major Elective-LLB/JD only
43,Banking Law
44,LAW + FNCE - LLB only
45,Intl Commercial Arbitration
46,Public International Law
47,WTO: Law and Policy
48,Intellectual Property Law
49,Family Law
50,ECON + HEM
51,Stoch. Processes & Modeling
52,Free Electives (For SOE only)
53,Survey Methods
54,App Stat Major Elective - Meth
