ModuleId,UniversityName,ModuleName,LinkToCourseOutline,Description,Faculty,AY,Semester,Credits,Difficulty,Popularity
AH2101,National University of Singapore (NUS),Introduction to Art History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,1,3
AH2201,National University of Singapore (NUS),Chinese Painting: Styles and Masters,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,1,3
AH2202,National University of Singapore (NUS),Modern Art: A Critical Introduction,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
AH2204,National University of Singapore (NUS),"Art in Southeast Asia, 4th-14th centuries CE",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
AH3205,National University of Singapore (NUS),Southeast Asian Art and Modernity,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
CAS5101,National University of Singapore (NUS),Theorizing from Asia,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
CH2293,National University of Singapore (NUS),Introduction to Chinese Art (taught in English),https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
CH2295,National University of Singapore (NUS),Commerce and Culture in China's Past (in English),https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
CH2392,National University of Singapore (NUS),Chinese Women in Context (in English),https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
EC1101E,National University of Singapore (NUS),Introduction to Economic Analysis,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
EC2101,National University of Singapore (NUS),Microeconomic Analysis I,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
EC2102,National University of Singapore (NUS),Macroeconomic Analysis I,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
EC2104,National University of Singapore (NUS),Quantitative Methods for Economic Analysis,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,3,3
